,confirmed,country,date,datetime,deaths,file_date,province,recovered
279,70,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Jiangsu,1
289,24,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Tianjin,0
288,27,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Shanxi,0
286,33,China,2020-01-28,2020-01-28 23:00:00,1,2020-01-28,Hebei,0
287,33,China,2020-01-28,2020-01-28 23:00:00,1,2020-01-28,Heilongjiang,0
284,40,China,2020-01-28,2020-01-28 23:00:00,1,2020-01-28,Hainan,0
283,44,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Yunnan,0
282,46,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Shaanxi,0
281,51,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Guangxi,2
291,15,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Inner Mongolia,0
280,66,China,2020-01-28,2020-01-28 23:00:00,1,2020-01-28,Shanghai,4
268,207,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Guangdong,4
306,4,South Korea,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,South Korea,0
297,8,Hong Kong,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Hong Kong,0
293,10,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Xinjiang,0
303,1,America,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Arizona,0
300,1,America,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Washington,0
302,2,America,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,California,0
301,1,America,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Illinois,0
299,6,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Qinghai,0
294,9,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Guizhou,0
296,8,Taiwan,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Taiwan,0
295,8,China,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Jilin,0
304,7,Japan,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Japan,1
305,14,Thailand,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Thailand,5
298,7,Macau,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Macau,0
307,7,Singapore,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Singapore,0
308,2,Vietnam,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Vietnam,0
309,4,France,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,France,0
310,1,Nepal,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Nepal,0
311,4,Malaysia,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Malaysia,0
312,1,Canada,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Ontario,0
313,1,Canada,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,British Columbia,0
314,1,Cambodia,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Cambodia,0
315,1,Sri Lanka,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Sri Lanka,0
316,4,Australia,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,New South Wales,0
318,4,Germany,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Bavaria,0
317,1,Australia,2020-01-28,2020-01-28 23:00:00,0,2020-01-28,Victoria,0
